"H","diameter","albedo","e","a","q","i","om","w","ma","ad","n","per_y","data_arc","n_obs_used"
13.9,4.456,0.323,0.115917064061035,2.59900792745415,2.29773855903231,4.95654509499856,162.751828376955,128.677203203439,257.848434954772,2.90027729587599,0.23522997781904,4.1900538889894,10626,3809
17.95,1.862,0.046,0.201647712046918,2.39827309405219,1.91466681177289,4.79967659933116,195.943121153039,243.103396024924,158.038866611362,2.8818793763315,0.265372625447461,3.71412191331201,7069,225
14.86,4.108,0.115,0.216289958037138,2.37288963899096,1.85965743854684,22.5567584742989,59.8920467532856,229.845524880326,265.205792472208,2.88612183943507,0.269642139138449,3.65531250611197,12567,2659
14.46,7.302,0.083,0.164188808459069,3.08784718737178,2.58085723697352,3.77167626098026,262.514180803821,131.444764885631,312.65249594942,3.59483713777004,0.181643714518662,5.42615133135417,10659,1795
14.2,6.602,0.112,0.0616172999805998,3.06994457864099,2.88078288261506,9.09278239299437,256.670877018821,21.2313782455339,139.645464316182,3.25910627466693,0.183234931845248,5.37903047984306,10428,2807
15.75,2.285,0.234,0.114921516272998,2.56967601173001,2.27436494813164,6.5424794431687,68.3833305136259,57.0838232862923,54.3240443455259,2.86498707532837,0.239269046213141,4.11932215623729,9226,1389
15.7,4.555,0.065,0.0830501366110649,3.12156383974776,2.86231753641655,19.2764840158141,118.596302788617,302.433149342519,144.68450530673,3.38081014307897,0.178708719132301,5.51526689997638,8475,415
16.09,3.571,0.066,0.169592843586005,3.06862513223264,2.54820827015782,5.72076078141604,152.269064452778,170.093501492908,9.16974816188755,3.58904199430745,0.183353125490283,5.37556303298353,9978,448
15.03,6.474,0.061,0.114555023837972,3.21419263954973,2.84599072510628,22.4667512508446,12.6443128091785,345.217851273977,268.820551785649,3.58239455399318,0.171039422122756,5.76256789887988,8496,665
16.8,2.965,0.055,0.0756789740714925,3.06597053612526,2.83394103141788,9.29243858192074,245.356984574036,97.2811442589803,15.529686640217,3.29800004083264,0.183591304801423,5.36858913026209,6752,162
15.12,2.844,0.288,0.153623298034601,2.40477607281668,2.03534644147589,5.57317378047961,84.0428494826619,167.892962623685,55.8515177486995,2.77420570415747,0.264296925275541,3.72923855372134,13555,2490
15.26,6.097,0.057,0.11555744379267,3.15044704416469,2.78638943693685,11.9930545519523,66.9861770208469,89.0637390640969,353.246743888643,3.51450465139253,0.176256766256532,5.59199118593285,9852,825
14.74,3.846,0.208,0.11819575768683,2.33481878429164,2.05885310902084,3.41363500634045,127.588119669172,233.859836272329,262.63598710421,2.61078445956243,0.276264006521259,3.56769705825471,12618,3186
14.24,5.156,0.124,0.150635318168499,2.53522920464505,2.15333414677327,12.7240719036377,271.444567981869,146.323872243235,309.914923277882,2.91712426251682,0.244162088018606,4.03677037400028,19926,2761
16.23,3.552,0.046,0.210484301098763,2.9082761051181,2.29612964173009,12.9779875483441,330.876316716118,252.066443424512,36.0489941751425,3.52042256850612,0.198724137748953,4.95977134198308,7344,323
15.88,4.846,0.033,0.280101321441263,3.08819810606524,2.22318973568396,22.9486597418315,149.39642532,271.06258299,59.295597705921,3.95320647644652,0.181612754540403,5.42707634087609,8674,355
14.07,4.412,0.274,0.0794668909928693,2.83980274187136,2.61413244694181,1.15393707276365,227.239302921315,108.032909437605,285.470058015211,3.0654730368009,0.205954749982008,4.78564482466978,23939,4274
15.66,5.639,0.051,0.229787678336352,2.44219871431243,1.88101154171455,11.105176700382,188.918319107988,135.115474447103,222.708397709097,3.0033858869103,0.258245389357783,3.81662683627638,11872,1842
13.9,4.587,0.334,0.0276057958887608,2.97314735466819,2.89107125564801,9.94821292615909,1.42038729027836,96.0998397635189,193.989316217812,3.05522345368837,0.192255787652196,5.12664037532447,12315,3102
15.58,4.881,0.047,0.120719505525664,3.17021531653514,2.78750849111313,4.385347565237,25.5772101151174,176.636024170178,75.1356995723973,3.55292214195715,0.174610732435583,5.64470619657457,11602,510
17.01,3.077,0.036,0.22726174211286,3.20413122960493,2.47595478440669,15.7328029825526,197.261411752697,237.524638930815,227.069122109027,3.93230767480317,0.171845684979956,5.73553117427719,5001,91
